,Department,GEO,Role,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,left_Company,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),EMP_Sat_Remote_Mean,EMP_Engagement_Mean
8680,IT,UK,Level 2-4,0.8,0.77,3,237,3,0,0,low,7,4,2,3,2,4062,77,3,4.2,4.2
8681,Warehouse,Japan,Level 2-4,0.8,0.77,5,139,2,0,0,medium,2,3,3,4,2,4217,70,8,4.2,4.2
8682,Operations,Colombia,Level 2-4,0.8,0.77,4,163,3,0,0,low,3,2,2,3,3,4185,75,6,4.2,4.2
8683,Sales,Colombia,Level 2-4,0.8,0.77,4,171,2,0,0,low,4,4,2,2,2,4962,76,4,4.2,4.2
8684,Finance,Japan,Level 2-4,0.8,0.77,4,261,3,0,0,low,9,4,3,3,3,5994,78,8,4.2,4.2
8685,Human Resources,Korea,Level 2-4,0.8,0.77,4,195,2,0,0,low,8,3,3,2,2,4576,72,4,4.2,4.2
8686,IT,Korea,Level 2-4,0.8,0.77,4,190,6,0,0,high,5,4,4,2,2,4139,79,9,4.2,4.2
8687,Warehouse,Australia,Level 2-4,0.8,0.77,5,236,3,0,0,high,4,3,2,3,3,5724,76,8,4.2,4.2
8688,Operations,UK,Level 2-4,0.8,0.77,3,254,3,0,0,medium,6,4,3,3,3,5716,76,2,4.2,4.2
8689,Sales,US,Level 2-4,0.8,0.77,3,157,3,0,0,medium,10,2,4,4,2,4877,78,1,4.2,4.2
8690,Finance,Colombia,Level 2-4,0.8,0.77,3,245,3,0,0,medium,1,4,3,2,2,5325,77,2,4.2,4.2
8691,Human Resources,US,Level 2-4,0.8,0.77,4,144,4,0,0,medium,8,4,2,4,3,4303,73,3,4.2,4.2
8692,IT,Australia,Level 2-4,0.8,0.77,5,217,4,0,0,low,3,4,3,2,3,5718,76,8,4.2,4.2
8693,Warehouse,France,Level 2-4,0.8,0.77,3,249,2,0,0,low,2,4,3,3,3,5078,75,5,4.2,4.2
8694,Operations,China,Level 2-4,0.8,0.77,3,176,2,0,0,low,2,4,3,3,3,5083,78,4,4.2,4.2
8695,Sales,Colombia,Level 2-4,0.8,0.77,3,230,2,0,0,low,1,4,4,2,2,4970,75,6,4.2,4.2
8696,Finance,Australia,Level 2-4,0.8,0.77,3,204,2,0,0,medium,5,4,3,3,4,4504,76,7,4.2,4.2
8697,Human Resources,Colombia,Level 2-4,0.8,0.77,4,266,2,0,0,low,5,3,2,2,3,5601,75,2,4.2,4.2
8698,IT,Korea,Level 2-4,0.8,0.77,4,213,3,0,0,low,2,3,4,3,3,5722,77,1,4.2,4.2
8699,Warehouse,UK,Level 2-4,0.8,0.77,3,147,3,0,0,low,8,4,4,3,2,5525,76,4,4.2,4.2
8700,Operations,Australia,Level 2-4,0.8,0.77,3,201,3,0,0,low,3,3,4,3,2,4556,76,6,4.2,4.2
8701,Sales,US,Level 2-4,0.8,0.77,2,248,3,0,0,low,5,3,4,3,3,5441,80,3,4.2,4.2
8702,Finance,UK,Level 2-4,0.8,0.77,4,167,3,0,0,medium,5,2,3,3,3,5791,80,4,4.2,4.2
8703,Human Resources,Australia,Level 2-4,0.8,0.77,3,232,2,0,0,low,10,2,2,3,3,5678,80,5,4.2,4.2
8704,IT,Australia,Level 2-4,0.8,0.77,5,163,3,0,0,medium,9,3,4,4,2,4419,80,7,4.2,4.2
8705,Warehouse,UK,Level 2-4,0.8,0.77,4,201,5,0,0,medium,3,2,2,3,3,5901,80,9,4.2,4.2
8706,Operations,China,Level 2-4,0.8,0.77,4,252,2,0,0,low,9,3,4,3,2,4157,76,4,4.2,4.2
8707,Sales,Turkey,Level 2-4,0.8,0.77,3,146,4,0,0,low,10,2,2,2,2,4583,73,2,4.2,4.2
8708,Finance,Japan,Level 2-4,0.8,0.77,5,160,3,0,0,medium,3,3,4,3,4,5839,80,5,4.2,4.2
8709,Human Resources,Colombia,Level 2-4,0.8,0.77,5,167,4,0,0,low,10,2,4,3,2,4325,72,3,4.2,4.2
8710,IT,UK,Level 2-4,0.8,0.77,4,224,2,0,0,medium,8,2,4,4,4,4781,78,7,4.2,4.2
8711,Warehouse,China,Level 2-4,0.8,0.77,4,239,3,0,0,medium,5,3,3,4,3,5978,78,2,4.2,4.2
8712,Operations,Turkey,Level 2-4,0.8,0.77,4,151,6,0,0,low,7,3,2,3,2,4387,76,1,4.2,4.2
8713,Sales,France,Level 2-4,0.8,0.77,4,264,3,0,0,low,10,2,2,2,3,5972,76,1,4.2,4.2
8714,Finance,France,Level 2-4,0.8,0.77,4,242,3,0,0,medium,8,2,3,4,3,4644,76,7,4.2,4.2
8715,Human Resources,Japan,Level 2-4,0.8,0.77,3,204,4,0,0,high,9,4,3,2,2,4712,75,2,4.2,4.2
8716,IT,UK,Level 2-4,0.8,0.77,3,260,2,0,0,medium,1,3,2,4,4,5970,77,5,4.2,4.2
8717,Warehouse,Turkey,Level 2-4,0.8,0.77,3,279,3,0,0,medium,6,3,4,2,4,4560,80,1,4.2,4.2
8718,Operations,Colombia,Level 2-4,0.8,0.77,3,225,4,0,0,low,8,4,4,2,3,5209,79,1,4.2,4.2
8719,Sales,Turkey,Level 2-4,0.8,0.77,3,190,3,0,0,low,9,4,2,2,2,4468,77,4,4.2,4.2
8720,Finance,Japan,Level 2-4,0.8,0.77,4,152,2,0,0,low,7,4,2,3,2,5026,79,2,4.2,4.2
8721,Human Resources,Turkey,Level 2-4,0.8,0.77,3,201,6,0,0,medium,7,4,4,2,4,4723,76,7,4.2,4.2
8722,IT,Colombia,Level 2-4,0.8,0.77,3,191,2,0,0,medium,7,3,2,2,3,5357,76,1,4.2,4.2
8723,Warehouse,US,Level 2-4,0.8,0.77,4,140,3,0,0,low,1,3,3,2,2,4453,80,4,4.2,4.2
8724,Operations,Korea,Level 2-4,0.8,0.77,5,199,4,0,0,medium,8,2,2,4,4,5362,72,4,4.2,4.2
8725,Sales,US,Level 2-4,0.8,0.77,4,194,3,0,0,medium,6,2,3,2,3,5282,80,5,4.2,4.2
8726,Finance,France,Level 2-4,0.8,0.77,4,273,2,0,0,low,5,2,2,3,2,5608,76,9,4.2,4.2
8727,Human Resources,Australia,Level 2-4,0.8,0.77,4,259,2,0,1,medium,4,4,4,4,3,4092,76,9,4.2,4.2
8728,IT,US,Level 2-4,0.8,0.77,4,180,3,0,0,medium,5,4,3,3,2,4038,80,7,4.2,4.2
8729,Warehouse,UK,Level 2-4,0.8,0.77,5,251,2,0,0,low,9,4,4,2,3,4458,75,5,4.2,4.2
8730,Operations,US,Level 2-4,0.8,0.77,5,269,3,0,0,low,5,3,4,3,2,5031,80,2,4.2,4.2
8731,Sales,Australia,Level 2-4,0.8,0.77,6,274,6,0,0,medium,2,4,3,3,3,4281,76,2,4.2,4.2
8732,Finance,Japan,Level 2-4,0.8,0.77,5,250,2,0,1,medium,10,5,5,4,3,5475,75,7,4.2,4.2
8733,Human Resources,Japan,Level 2-4,0.8,0.77,3,265,3,0,0,medium,8,3,4,4,4,5980,80,3,4.2,4.2
8734,IT,China,Level 2-4,0.8,0.77,4,169,10,0,0,medium,6,3,3,4,3,5106,72,7,4.2,4.2
8735,Warehouse,Korea,Level 2-4,0.8,0.77,3,211,3,0,0,high,8,3,3,3,3,5191,76,9,4.2,4.2
8736,Operations,Korea,Level 2-4,0.8,0.77,4,245,2,0,0,low,6,3,4,3,3,5772,76,4,4.2,4.2
8737,Sales,France,Level 2-4,0.8,0.77,4,188,2,0,0,low,6,3,4,2,3,5894,75,7,4.2,4.2
8738,Finance,Korea,Level 1,0.8,0.77,3,244,2,0,0,medium,10,4,2,4,4,4064,77,7,4.2,4.2
8739,Human Resources,China,Level 1,0.8,0.77,3,233,3,0,0,medium,7,3,2,2,3,5787,76,4,4.2,4.2
8740,IT,Turkey,Level 1,0.8,0.77,3,144,3,0,0,medium,6,3,4,3,4,4163,70,5,4.2,4.2
8741,Warehouse,Australia,Level 1,0.8,0.77,3,221,2,0,0,low,6,4,2,2,3,5289,76,5,4.2,4.2
8742,Operations,US,Level 1,0.8,0.77,3,267,2,0,0,high,2,3,2,2,3,5062,78,9,4.2,4.2
8743,Sales,UK,Level 1,0.8,0.77,3,211,3,0,0,high,7,2,4,3,3,5178,76,5,4.2,4.2
8744,Finance,Japan,Level 1,0.8,0.77,4,205,3,0,0,low,10,2,4,3,3,4923,75,1,4.2,4.2
8745,Human Resources,US,Level 1,0.8,0.77,3,144,3,0,0,high,1,3,4,2,2,5307,74,3,4.2,4.2
8746,IT,France,Level 1,0.8,0.77,3,195,7,0,0,medium,4,4,4,3,3,4614,76,5,4.2,4.2
8747,Warehouse,UK,Level 1,0.8,0.77,5,232,7,0,0,medium,6,2,2,3,3,5139,78,2,4.2,4.2
8748,Operations,China,Level 1,0.8,0.77,5,199,10,0,0,medium,1,2,3,2,3,5865,77,5,4.2,4.2
8749,Sales,US,Level 1,0.8,0.77,5,232,3,0,0,low,5,2,3,2,2,5338,75,2,4.2,4.2
8750,Finance,Japan,Level 1,0.8,0.77,5,272,2,0,0,low,1,4,3,2,3,5983,79,9,4.2,4.2
8751,Human Resources,UK,Level 1,0.8,0.77,2,167,2,0,0,medium,1,2,3,4,2,4344,79,4,4.2,4.2
8752,IT,Korea,Level 1,0.8,0.77,3,272,8,0,0,high,10,3,4,3,2,4070,77,1,4.2,4.2
8753,Warehouse,UK,Level 1,0.8,0.77,6,247,4,1,0,low,10,2,2,1,1,1556,90,2,4.2,1.8
8754,Operations,UK,Level 1,0.8,0.77,5,275,4,1,0,medium,9,1,2,2,1,1215,85,7,4.2,1.8
8755,Sales,Australia,Level 1,0.8,0.77,6,291,4,1,0,low,8,1,1,1,2,1131,88,2,4.2,1.8
8756,Finance,France,Level 1,0.8,0.77,6,265,4,1,0,low,7,1,1,2,2,1404,90,9,4.2,1.8
8757,Human Resources,France,Level 1,0.8,0.77,7,250,5,1,0,medium,4,1,1,2,2,1163,89,8,4.2,1.8
8758,IT,China,Level 1,0.8,0.77,7,291,4,1,0,low,8,2,2,1,2,1275,89,4,4.2,1.8
8759,Warehouse,China,Level 1,0.8,0.77,6,255,4,1,0,low,9,2,1,1,1,1197,89,4,4.2,1.8
8760,Operations,Turkey,Level 1,0.8,0.77,6,290,4,1,0,medium,2,1,1,1,1,1867,89,7,4.2,1.8
8761,Sales,Japan,Level 1,0.8,0.77,5,276,4,1,0,low,2,1,2,1,1,1411,88,9,4.2,1.8
8762,Finance,Turkey,Level 1,0.8,0.77,4,149,3,1,0,medium,8,1,1,1,2,1136,88,5,4.2,1.8
8763,Human Resources,Australia,Level 1,0.8,0.77,3,201,6,0,0,medium,2,3,4,3,3,4984,76,2,4.2,4.2
8764,IT,Australia,Level 1,0.8,0.77,3,191,2,0,0,medium,8,3,2,4,2,5667,80,7,4.2,4.2
8765,Warehouse,China,Level 1,0.8,0.77,4,140,3,0,0,low,4,4,3,2,3,5924,72,7,4.2,4.2
8766,Operations,Australia,Level 1,0.8,0.77,5,199,4,0,0,medium,2,2,4,4,3,4902,80,7,4.2,4.2
8767,Sales,France,Level 1,0.8,0.77,4,194,3,0,0,medium,9,4,4,3,3,5804,74,4,4.2,4.2
8768,Finance,France,VP,0.8,0.77,4,273,2,0,0,low,9,2,3,2,2,5724,77,1,4.2,4.2
8769,Human Resources,US,Senior Director,0.8,0.77,4,259,2,0,1,medium,8,4,4,2,2,4672,76,3,4.2,4.2
8770,IT,Korea,Senior Director,0.8,0.77,4,180,3,0,0,medium,1,3,4,3,2,5088,79,4,4.2,4.2
8771,Warehouse,Japan,Senior Director,0.8,0.77,5,251,2,0,0,low,3,2,2,3,3,5347,79,7,4.2,4.2
8772,Operations,Korea,Director,0.8,0.77,5,269,3,0,0,low,8,3,3,2,2,4811,77,1,4.2,4.2
8773,Sales,France,Director,0.8,0.77,6,274,6,0,0,medium,1,2,4,2,4,4632,79,5,4.2,4.2
8774,Finance,UK,Director,0.8,0.77,5,250,2,0,1,medium,6,5,3,4,2,5565,76,1,4.2,4.2
8775,Human Resources,Colombia,Director,0.8,0.77,3,265,3,0,0,medium,3,3,3,3,3,5241,75,3,4.2,4.2
8776,IT,Colombia,Director,0.8,0.77,4,169,10,0,0,medium,6,4,2,3,4,4385,79,5,4.2,4.2
8777,Warehouse,UK,Director,0.8,0.77,3,211,3,0,0,high,4,4,3,3,2,4354,75,6,4.2,4.2
8778,Operations,Colombia,Senior Manager,0.8,0.77,4,245,2,0,0,low,5,4,2,3,3,5324,76,8,4.2,4.2
8779,Sales,France,Senior Manager,0.8,0.77,4,188,2,0,0,low,4,2,3,2,3,4433,75,5,4.2,4.2
8780,Finance,UK,Senior Manager,0.8,0.77,3,244,2,0,0,medium,8,4,4,4,2,5715,80,7,4.2,4.2
8781,Human Resources,Korea,Senior Manager,0.8,0.77,3,233,3,0,0,medium,10,3,2,3,2,4626,77,1,4.2,4.2
8782,IT,Korea,Senior Manager,0.8,0.77,3,144,3,0,0,medium,8,4,3,3,3,5867,73,7,4.2,4.2
8783,Warehouse,Korea,Senior Manager,0.8,0.77,3,221,2,0,0,low,7,3,3,2,3,5320,80,2,4.2,4.2
8784,Operations,Turkey,Senior Manager,0.8,0.77,3,267,2,0,0,high,1,4,3,2,2,4195,78,8,4.2,4.2
8785,Sales,UK,Senior Manager,0.8,0.77,3,211,3,0,0,high,1,4,3,2,3,5144,75,1,4.2,4.2
8786,Finance,Colombia,Senior Manager,0.8,0.77,4,205,3,0,0,low,6,4,3,2,2,4254,75,1,4.2,4.2
8787,Human Resources,France,Senior Manager,0.8,0.77,3,144,3,0,0,high,9,2,4,2,3,4428,75,9,4.2,4.2
8788,IT,France,Senior Manager,0.8,0.77,3,195,7,0,0,medium,9,3,3,2,3,5829,72,1,4.2,4.2
8789,Warehouse,UK,Senior Manager,0.8,0.77,5,232,7,0,0,medium,6,4,2,4,4,5285,79,9,4.2,4.2
8790,Operations,Korea,Manager,0.8,0.77,5,199,10,0,0,medium,8,2,3,2,2,4140,75,5,4.2,4.2
8791,Sales,China,Manager,0.8,0.77,5,232,3,0,0,low,3,3,2,2,2,5718,80,9,4.2,4.2
8792,Finance,US,Manager,0.8,0.77,5,272,2,0,0,low,4,4,4,3,3,5112,76,5,4.2,4.2
8793,Human Resources,France,Manager,0.8,0.77,2,167,2,0,0,medium,3,4,3,4,4,5894,72,9,4.2,4.2
8794,IT,France,Manager,0.8,0.77,3,272,8,0,0,high,7,2,2,2,3,5257,78,7,4.2,4.2
8795,Warehouse,France,Manager,0.8,0.77,6,247,4,1,0,low,2,1,1,2,2,1326,87,2,4.2,1.8
8796,Operations,China,Manager,0.8,0.77,5,275,4,1,0,medium,10,1,2,1,1,1141,87,8,4.2,1.8
8797,Sales,Japan,Manager,0.8,0.77,6,291,4,1,0,low,9,2,2,2,1,1413,85,5,4.2,1.8
8798,Finance,UK,Manager,0.8,0.77,6,265,4,1,0,low,7,2,1,1,2,1644,86,6,4.2,1.8
8799,Human Resources,US,Manager,0.8,0.77,7,250,5,1,0,medium,9,1,2,2,2,1327,86,3,4.2,1.8
8800,IT,Australia,Manager,0.8,0.77,7,291,4,1,0,low,2,1,1,2,2,1216,86,8,4.2,1.8
8801,Warehouse,France,Manager,0.8,0.77,6,255,4,1,0,low,2,1,1,2,1,1385,90,1,4.2,1.8
8802,Operations,Japan,Manager,0.8,0.77,6,290,4,1,0,medium,9,2,2,2,1,1339,88,4,4.2,1.8
8803,Sales,Turkey,Manager,0.8,0.77,6,247,4,1,0,medium,4,1,1,1,1,1476,89,8,4.2,1.8
8804,Finance,Australia,Manager,0.8,0.78,6,152,2,1,0,low,9,2,1,1,1,1993,86,2,4.2,1.8
8805,Human Resources,China,Manager,0.8,0.78,7,278,4,1,0,low,5,1,2,2,2,1572,89,6,4.2,1.8
8806,IT,Colombia,Manager,0.8,0.78,6,260,4,1,0,medium,2,2,2,1,2,1131,85,4,4.2,1.8
8807,Warehouse,Colombia,Manager,0.8,0.78,6,254,4,1,0,low,6,1,2,1,2,1335,85,5,4.2,1.8
8808,Operations,Turkey,Manager,0.8,0.78,2,151,4,1,0,low,6,2,1,1,1,1803,85,1,4.2,1.8
8809,Sales,France,Manager,0.8,0.78,2,198,2,1,0,medium,4,1,2,1,1,1913,86,6,4.2,1.8
8810,Finance,Australia,Manager,0.8,0.78,6,243,4,1,0,low,9,1,2,1,1,1353,88,9,4.2,1.8
8811,Human Resources,Australia,Manager,0.8,0.78,6,245,4,1,0,low,8,1,2,1,1,1403,89,5,4.2,1.8
8812,IT,Turkey,Level 2-4,0.8,0.78,6,300,4,1,0,low,8,2,2,1,2,1301,85,6,4.2,1.8
8813,Warehouse,Japan,Level 2-4,0.8,0.78,6,303,4,1,0,medium,10,2,1,2,1,1003,89,1,4.2,1.8
8814,Operations,France,Level 2-4,0.8,0.78,7,286,4,1,0,low,3,2,2,1,1,1670,90,1,4.2,1.8
8815,Sales,France,Level 2-4,0.8,0.78,7,248,4,1,0,medium,1,2,2,1,2,1163,88,9,4.2,1.8
8816,Finance,US,Level 2-4,0.8,0.78,6,244,4,1,0,low,9,1,2,1,1,1789,89,8,4.2,1.8
8817,Human Resources,US,Level 2-4,0.8,0.78,7,290,4,1,0,low,9,1,1,1,2,1885,89,2,4.2,1.8
8818,IT,Korea,Level 2-4,0.8,0.78,4,260,5,1,0,low,10,2,2,2,1,1832,85,8,4.2,1.8
8819,Warehouse,Australia,Level 2-4,0.8,0.78,6,310,4,1,0,medium,1,1,1,1,2,1105,86,8,4.2,1.8
8820,Operations,UK,Level 2-4,0.8,0.78,6,247,4,1,0,low,3,1,2,2,2,1616,86,8,4.2,1.8
8821,Sales,Australia,Level 2-4,0.8,0.78,6,281,4,1,0,low,8,1,2,2,1,1241,87,7,4.2,1.8
8822,Finance,Colombia,Level 2-4,0.8,0.78,6,260,4,1,0,medium,9,2,2,2,1,1800,85,2,4.2,1.8
8823,Human Resources,France,Level 2-4,0.8,0.78,6,263,4,1,0,low,6,1,2,1,1,1153,85,1,4.2,1.8
8824,IT,Turkey,Level 2-4,0.8,0.78,5,285,4,1,0,medium,10,2,1,2,2,1428,89,3,4.2,1.8
8825,Warehouse,Australia,Level 2-4,0.8,0.78,3,269,3,0,0,medium,9,4,4,4,2,5133,77,7,4.2,4.2
8826,Operations,Colombia,Level 2-4,0.8,0.78,2,205,6,0,0,low,2,3,4,2,3,5671,76,4,4.2,4.2
8827,Sales,China,Level 2-4,0.8,0.78,3,109,3,0,0,low,4,4,2,3,2,5746,74,5,4.2,4.2
8828,Finance,Australia,Level 2-4,0.8,0.78,5,216,2,0,0,low,6,3,3,2,3,4535,76,1,4.2,4.2
8829,Human Resources,Korea,Level 2-4,0.8,0.78,3,184,3,0,0,medium,8,3,2,2,2,4994,73,2,4.2,4.2
8830,IT,Colombia,Level 2-4,0.8,0.78,4,106,2,0,0,low,6,4,4,3,3,5984,76,1,4.2,4.2
8831,Warehouse,Australia,Level 2-4,0.8,0.78,3,228,2,0,0,low,5,4,4,2,3,4456,76,6,4.2,4.2
8832,Operations,Turkey,Level 2-4,0.8,0.78,4,140,3,0,0,medium,8,3,4,4,4,4956,71,4,4.2,4.2
8833,Sales,Korea,Level 2-4,0.8,0.78,4,251,3,0,0,medium,5,3,2,3,3,4206,80,4,4.2,4.2
8834,Finance,Australia,Level 2-4,0.8,0.78,3,153,3,0,0,medium,5,2,2,4,3,4578,70,9,4.2,4.2
8835,Human Resources,China,Level 2-4,0.8,0.78,4,176,2,0,0,medium,1,3,3,2,2,5793,70,1,4.2,4.2
8836,IT,UK,Level 2-4,0.8,0.78,4,206,2,0,0,medium,4,4,3,2,3,5194,76,6,4.2,4.2
8837,Warehouse,China,Level 2-4,0.8,0.78,3,189,2,0,0,low,9,3,4,3,3,4690,76,5,4.2,4.2
8838,Operations,US,Level 2-4,0.8,0.78,2,251,6,0,0,medium,1,4,3,4,3,4165,80,6,4.2,4.2
8839,Sales,US,Level 2-4,0.8,0.78,4,155,3,0,0,low,1,4,3,3,2,4360,70,9,4.2,4.2
8840,Finance,France,Level 2-4,0.8,0.78,6,260,5,0,0,medium,2,4,4,4,2,4687,75,9,4.2,4.2
8841,Human Resources,Japan,Level 2-4,0.8,0.78,5,156,6,0,0,medium,4,2,4,4,3,4821,78,3,4.2,4.2
8842,IT,France,Level 2-4,0.8,0.78,4,225,2,0,0,medium,7,4,4,2,3,5241,76,9,4.2,4.2
8843,Warehouse,UK,Level 2-4,0.8,0.78,6,284,4,0,0,medium,8,4,2,3,4,5346,79,6,4.2,4.2
8844,Operations,Colombia,Level 2-4,0.8,0.78,5,263,2,0,0,low,3,2,3,3,2,4474,77,9,4.2,4.2
8845,Sales,Korea,Level 2-4,0.8,0.78,3,238,2,0,0,medium,2,2,2,3,2,5512,75,1,4.2,4.2
8846,Finance,Turkey,Level 2-4,0.8,0.78,5,267,2,0,0,low,7,4,2,3,2,5292,77,2,4.2,4.2
8847,Human Resources,Colombia,Level 2-4,0.8,0.78,3,101,2,0,0,medium,9,2,3,2,4,4860,75,3,4.2,4.2
8848,IT,US,Level 2-4,0.8,0.78,3,175,3,0,0,medium,1,4,3,3,3,4872,80,5,4.2,4.2
8849,Warehouse,France,Level 2-4,0.8,0.78,4,261,2,0,0,low,3,2,3,2,3,4119,80,4,4.2,4.2
8850,Operations,Turkey,Level 2-4,0.8,0.78,5,150,3,0,0,low,10,2,2,3,2,4799,80,7,4.2,4.2
8851,Sales,Colombia,Level 2-4,0.8,0.78,3,206,4,0,0,medium,2,2,4,2,4,5829,80,8,4.2,4.2
8852,Finance,Australia,Level 2-4,0.8,0.78,4,254,4,0,0,low,10,4,3,3,3,4827,76,3,4.2,4.2
8853,Human Resources,France,Level 2-4,0.8,0.78,4,159,3,0,0,low,5,3,4,3,2,4985,80,8,4.2,4.2
8854,IT,Australia,Level 2-4,0.8,0.78,2,284,3,0,0,medium,6,4,3,4,2,4575,78,4,4.2,4.2
8855,Warehouse,Colombia,Level 2-4,0.8,0.78,3,170,2,0,0,low,9,2,4,3,3,4112,75,5,4.2,4.2
8856,Operations,Australia,Level 2-4,0.8,0.78,4,245,3,0,0,low,7,2,4,3,2,4297,78,4,4.2,4.2
8857,Sales,UK,Level 2-4,0.8,0.78,4,152,3,0,0,medium,5,3,4,3,4,5191,75,3,4.2,4.2
8858,Finance,China,Level 2-4,0.8,0.78,5,193,4,0,0,high,4,3,2,3,2,5757,80,6,4.2,4.2
8859,Human Resources,Turkey,Level 2-4,0.8,0.78,5,231,2,0,0,low,8,3,4,3,3,5743,77,7,4.2,4.2
8860,IT,Japan,Level 2-4,0.8,0.78,4,212,3,0,0,low,3,4,3,3,3,4896,78,4,4.2,4.2
8861,Warehouse,China,Level 2-4,0.8,0.78,3,185,2,0,0,medium,8,3,2,4,3,5449,77,8,4.2,4.2
8862,Operations,Korea,Level 2-4,0.8,0.78,4,223,3,0,0,low,10,4,2,2,3,5560,79,6,4.2,4.2
8863,Sales,Australia,Level 2-4,0.8,0.78,4,241,4,0,1,medium,9,4,5,2,2,5360,80,1,4.2,4.2
8864,Finance,Korea,Level 2-4,0.8,0.78,5,215,3,0,1,low,5,4,3,3,3,5552,77,6,4.2,4.2
8865,Human Resources,Australia,Level 2-4,0.8,0.78,4,261,2,0,0,medium,6,2,3,2,4,5920,78,1,4.2,4.2
8866,IT,UK,Level 2-4,0.8,0.78,4,158,5,0,0,medium,7,2,3,4,3,4344,80,8,4.2,4.2
8867,Warehouse,Japan,Level 2-4,0.8,0.78,3,166,2,0,0,medium,8,4,4,3,4,5871,71,4,4.2,4.2
8868,Operations,France,Level 2-4,0.8,0.78,4,280,6,0,0,high,8,2,3,3,3,4525,78,4,4.2,4.2
8869,Sales,Colombia,Level 2-4,0.8,0.78,3,264,3,0,0,low,8,4,4,2,2,5831,79,4,4.2,4.2
8870,Finance,Korea,Level 2-4,0.8,0.78,3,204,2,0,0,medium,6,3,3,3,3,5612,76,4,4.2,4.2
8871,Human Resources,France,Level 2-4,0.8,0.78,4,261,2,0,0,medium,9,3,4,4,4,5306,77,7,4.2,4.2
8872,IT,Korea,Level 2-4,0.8,0.78,6,138,3,0,0,medium,4,2,2,3,2,4225,80,5,4.2,4.2
8873,Warehouse,Korea,Level 2-4,0.8,0.78,4,225,2,0,0,medium,10,2,3,4,2,4829,75,8,4.2,4.2
8874,Operations,US,Level 2-4,0.8,0.78,4,238,5,0,0,low,1,3,3,2,2,4753,75,4,4.2,4.2
8875,Sales,Korea,Level 1,0.8,0.78,4,234,3,0,0,medium,3,3,2,4,3,5142,77,9,4.2,4.2
8876,Finance,Turkey,Level 1,0.8,0.78,4,237,3,0,0,low,7,4,4,2,3,4785,76,4,4.2,4.2
8877,Human Resources,Korea,Level 1,0.8,0.78,3,165,3,0,0,medium,4,4,2,2,3,5924,76,8,4.2,4.2
8878,IT,US,Level 1,0.8,0.78,2,148,2,0,0,low,10,3,4,2,2,5939,76,6,4.2,4.2
8879,Warehouse,US,Level 1,0.8,0.78,5,148,4,0,0,high,2,3,4,3,3,5821,76,9,4.2,4.2
8880,Operations,UK,Level 1,0.8,0.78,3,218,3,0,0,low,4,2,3,3,2,5086,75,7,4.2,4.2
8881,Sales,UK,Level 1,0.8,0.78,4,218,6,0,0,low,5,3,3,3,3,4364,77,6,4.2,4.2
8882,Finance,France,Level 1,0.8,0.78,4,181,4,0,0,low,8,2,2,3,2,5106,71,2,4.2,4.2
8883,Human Resources,Turkey,Level 1,0.8,0.78,2,138,2,0,0,low,8,3,2,2,3,4932,75,6,4.2,4.2
8884,IT,Colombia,Level 1,0.8,0.78,3,206,3,0,1,high,5,5,5,5,3,4022,76,2,4.2,4.2
8885,Warehouse,US,Level 1,0.8,0.78,5,172,2,0,1,high,7,4,4,5,5,5165,72,2,4.2,4.2
8886,Operations,Australia,Level 1,0.8,0.78,4,160,2,0,0,high,5,4,2,2,2,4343,70,5,4.2,4.2
8887,Sales,Japan,Level 1,0.8,0.78,5,225,4,0,0,low,1,4,4,2,2,4328,77,7,4.2,4.2
8888,Finance,China,Level 1,0.8,0.78,6,206,6,0,0,low,2,4,3,3,3,4014,77,6,4.2,4.2
8889,Human Resources,China,Level 1,0.8,0.78,5,232,3,0,0,low,2,4,4,2,3,4545,79,6,4.2,4.2
8890,IT,Korea,Level 1,0.8,0.78,3,232,3,0,0,low,6,2,4,2,2,4050,79,3,4.2,4.2
8891,Warehouse,UK,Level 1,0.8,0.78,3,197,2,0,0,low,3,4,3,2,2,4865,70,1,4.2,4.2
8892,Operations,Korea,Level 1,0.8,0.78,5,246,3,0,0,low,3,3,2,3,2,5013,78,3,4.2,4.2
8893,Sales,UK,Level 1,0.8,0.78,3,241,3,0,0,medium,3,2,4,2,2,4047,78,3,4.2,4.2
8894,Finance,France,Level 1,0.8,0.78,6,211,4,0,0,medium,4,2,2,3,2,4032,78,4,4.2,4.2
8895,Human Resources,France,Level 1,0.8,0.78,3,162,2,0,0,low,9,2,4,3,2,4903,71,4,4.2,4.2
8896,IT,Korea,Level 1,0.8,0.78,3,264,4,0,0,low,10,3,4,3,2,4265,75,4,4.2,4.2
8897,Warehouse,Colombia,Level 1,0.8,0.78,5,211,3,0,0,low,5,2,2,2,2,5087,80,4,4.2,4.2
8898,Operations,China,Level 1,0.8,0.78,4,159,5,0,0,low,7,3,2,3,3,4063,76,2,4.2,4.2
8899,Sales,Turkey,Level 1,0.8,0.78,5,166,2,0,0,high,2,4,3,3,2,4562,71,8,4.2,4.2
8900,Finance,China,Level 1,0.8,0.78,4,163,6,0,0,medium,1,4,3,3,4,4584,77,1,4.2,4.2
